cue_id,shot_id,profile_id,viewport,font_family,font_px,safe_width_px,source_text,authored_break_hint_present,full_width_px,line_count,line_1,line_1_width_px,line_2,line_2_width_px,break_index,orphan_count,one_character_line_count,prohibited_boundary_count,kinsoku_pass,orphan_pass,proper_name_pass,safe_width_pass,status
case-digest-caption-03,shot-b02-01,html_desktop,1440x1000,Yu Gothic UI,28,804,時計修理師のミラ・ヴェイルが、失踪した兄の手掛かりを調べる。,false,709,2,時計修理師のミラ・ヴェイルが、,337,失踪した兄の手掛かりを調べる。,362,15,0,0,0,true,true,true,true,PASS
case-digest-caption-03,shot-b02-01,html_narrow,390x844,Yu Gothic UI,18,312,時計修理師のミラ・ヴェイルが、失踪した兄の手掛かりを調べる。,false,460,2,時計修理師のミラ・ヴェイルが、,218,失踪した兄の手掛かりを調べる。,234,15,0,0,0,true,true,true,true,PASS
case-digest-caption-04,shot-b02-02,video_960x540,960x540,Yu Gothic UI,30,840,失踪した兄が残したとされるメモと真鍮の蛾が、作業台に保管されている。,false,883,2,失踪した兄が残したとされるメモと真鍮の蛾が、,560,作業台に保管されている。,311,22,0,0,0,true,true,true,true,PASS
case-digest-caption-04,shot-b02-02,video_1280x720,1280x720,Yu Gothic UI,40,1120,失踪した兄が残したとされるメモと真鍮の蛾が、作業台に保管されている。,false,1184,2,失踪した兄が残したとされるメモと真鍮の蛾が、,751,作業台に保管されている。,418,22,0,0,0,true,true,true,true,PASS
case-digest-caption-04,shot-b02-02,html_desktop,1440x1000,Yu Gothic UI,28,804,失踪した兄が残したとされるメモと真鍮の蛾が、作業台に保管されている。,false,824,2,失踪した兄が残したとされるメモと真鍮の蛾が、,523,作業台に保管されている。,291,22,0,0,0,true,true,true,true,PASS
case-digest-caption-04,shot-b02-02,html_narrow,390x844,Yu Gothic UI,18,312,失踪した兄が残したとされるメモと真鍮の蛾が、作業台に保管されている。,false,535,2,失踪した兄が残したとされるメモと真,262,鍮の蛾が、作業台に保管されている。,272,17,0,0,0,true,true,true,true,PASS
case-digest-caption-05,shot-b02-03,video_960x540,960x540,Yu Gothic UI,30,840,時計と記録には、9:17が繰り返し現れる。,false,498,1,時計と記録には、9:17が繰り返し現れる。,498,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-05,shot-b02-03,video_1280x720,1280x720,Yu Gothic UI,40,1120,時計と記録には、9:17が繰り返し現れる。,false,668,1,時計と記録には、9:17が繰り返し現れる。,668,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-05,shot-b02-03,html_desktop,1440x1000,Yu Gothic UI,28,804,時計と記録には、9:17が繰り返し現れる。,false,465,1,時計と記録には、9:17が繰り返し現れる。,465,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-05,shot-b02-03,html_narrow,390x844,Yu Gothic UI,18,312,時計と記録には、9:17が繰り返し現れる。,false,303,2,時計と記録には、,125,9:17が繰り返し現れる。,171,8,0,0,0,true,true,true,true,PASS
case-digest-caption-06,shot-b03-01,video_960x540,960x540,Yu Gothic UI,30,840,失踪した兄のメモは、二列の台帳へ調査を導く。,false,581,1,失踪した兄のメモは、二列の台帳へ調査を導く。,581,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-06,shot-b03-01,video_1280x720,1280x720,Yu Gothic UI,40,1120,失踪した兄のメモは、二列の台帳へ調査を導く。,false,777,1,失踪した兄のメモは、二列の台帳へ調査を導く。,777,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-06,shot-b03-01,html_desktop,1440x1000,Yu Gothic UI,28,804,失踪した兄のメモは、二列の台帳へ調査を導く。,false,541,1,失踪した兄のメモは、二列の台帳へ調査を導く。,541,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-06,shot-b03-01,html_narrow,390x844,Yu Gothic UI,18,312,失踪した兄のメモは、二列の台帳へ調査を導く。,false,350,2,失踪した兄のメモは、,148,二列の台帳へ調査を導く。,194,10,0,0,0,true,true,true,true,PASS
case-digest-caption-07,shot-b03-02,video_960x540,960x540,Yu Gothic UI,30,840,台帳には、「分」の欄と人名の欄が並んでいる。,false,562,1,台帳には、「分」の欄と人名の欄が並んでいる。,562,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-07,shot-b03-02,video_1280x720,1280x720,Yu Gothic UI,40,1120,台帳には、「分」の欄と人名の欄が並んでいる。,false,752,1,台帳には、「分」の欄と人名の欄が並んでいる。,752,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-07,shot-b03-02,html_desktop,1440x1000,Yu Gothic UI,28,804,台帳には、「分」の欄と人名の欄が並んでいる。,false,523,1,台帳には、「分」の欄と人名の欄が並んでいる。,523,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-07,shot-b03-02,html_narrow,390x844,Yu Gothic UI,18,312,台帳には、「分」の欄と人名の欄が並んでいる。,false,338,2,台帳には、,74,「分」の欄と人名の欄が並んでいる。,254,5,0,0,0,true,true,true,true,PASS
case-digest-caption-08,shot-b04-01,video_960x540,960x540,Yu Gothic UI,30,840,メモは、市の評議会を調査対象として指している。,false,594,1,メモは、市の評議会を調査対象として指している。,594,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-08,shot-b04-01,video_1280x720,1280x720,Yu Gothic UI,40,1120,メモは、市の評議会を調査対象として指している。,false,797,1,メモは、市の評議会を調査対象として指している。,797,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-08,shot-b04-01,html_desktop,1440x1000,Yu Gothic UI,28,804,メモは、市の評議会を調査対象として指している。,false,555,1,メモは、市の評議会を調査対象として指している。,555,,,,0,0,0,true,true,true,true,PASS
case-digest-caption-08,shot-b04-01,html_narrow,390x844,Yu Gothic UI,18,312,メモは、市の評議会を調査対象として指している。,false,359,2,メモは、,49,市の評議会を調査対象として指している。,302,4,0,0,0,true,true,true,true,PASS
case-digest-caption-09,shot-b04-02,video_960x540,960x540,Yu Gothic UI,30,840,告発は記録されているが、評議会の関与を裏づける証拠はない。,false,782,2,告発は記録されているが、,307,評議会の関与を裏づける証拠はない。,463,12,0,0,0,true,true,true,true,PASS
case-digest-caption-09,shot-b04-02,video_1280x720,1280x720,Yu Gothic UI,40,1120,告発は記録されているが、評議会の関与を裏づける証拠はない。,false,1047,2,告発は記録されているが、,412,評議会の関与を裏づける証拠はない。,619,12,0,0,0,true,true,true,true,PASS
case-digest-caption-09,shot-b04-02,html_desktop,1440x1000,Yu Gothic UI,28,804,告発は記録されているが、評議会の関与を裏づける証拠はない。,false,727,2,告発は記録されているが、,287,評議会の関与を裏づける証拠はない。,430,12,0,0,0,true,true,true,true,PASS
case-digest-caption-09,shot-b04-02,html_narrow,390x844,Yu Gothic UI,18,312,告発は記録されているが、評議会の関与を裏づける証拠はない。,false,472,2,告発は記録されているが、,186,評議会の関与を裏づける証拠はない。,278,12,0,0,0,true,true,true,true,PASS
case-digest-caption-10,shot-b06-01,video_960x540,960x540,Yu Gothic UI,30,840,時間と名前は、台帳上の二つの損失区分として記録されている。,false,778,2,時間と名前は、,180,台帳上の二つの損失区分として記録されている。,585,7,0,0,0,true,true,true,true,PASS
case-digest-caption-10,shot-b06-01,video_1280x720,1280x720,Yu Gothic UI,40,1120,時間と名前は、台帳上の二つの損失区分として記録されている。,false,1046,2,時間と名前は、,244,台帳上の二つの損失区分として記録されている。,785,7,0,0,0,true,true,true,true,PASS
case-digest-caption-10,shot-b06-01,html_desktop,1440x1000,Yu Gothic UI,28,804,時間と名前は、台帳上の二つの損失区分として記録されている。,false,727,2,時間と名前は、,170,台帳上の二つの損失区分として記録されている。,546,7,0,0,0,true,true,true,true,PASS
case-digest-caption-10,shot-b06-01,html_narrow,390x844,Yu Gothic UI,18,312,時間と名前は、台帳上の二つの損失区分として記録されている。,false,472,2,時間と名前は、台帳上の二,207,つの損失区分として記録されている。,263,12,0,0,0,true,true,true,true,PASS
case-digest-caption-11,shot-b06-03,video_960x540,960x540,Yu Gothic UI,30,840,音源と関係者を確定できないまま、塔は調査対象として残る。,false,748,2,音源と関係者を確定できないまま、,422,塔は調査対象として残る。,314,16,0,0,0,true,true,true,true,PASS
case-digest-caption-11,shot-b06-03,video_1280x720,1280x720,Yu Gothic UI,40,1120,音源と関係者を確定できないまま、塔は調査対象として残る。,false,1002,2,音源と関係者を確定できないまま、,563,塔は調査対象として残る。,423,16,0,0,0,true,true,true,true,PASS
case-digest-caption-11,shot-b06-03,html_desktop,1440x1000,Yu Gothic UI,28,804,音源と関係者を確定できないまま、塔は調査対象として残る。,false,696,2,音源と関係者を確定できないまま、,393,塔は調査対象として残る。,293,16,0,0,0,true,true,true,true,PASS
case-digest-caption-11,shot-b06-03,html_narrow,390x844,Yu Gothic UI,18,312,音源と関係者を確定できないまま、塔は調査対象として残る。,false,451,2,音源と関係者を確定できないまま、,253,塔は調査対象として残る。,191,16,0,0,0,true,true,true,true,PASS
