scope,subject_id,status,criteria_count,criterion_ids,evidence,owner,next_move
shot,shot-b02-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; character_context; close; occupancy 35-60%,shot_planner,none
shot,shot-b02-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; evidence_insert; close; occupancy 40-65%,shot_planner,none
shot,shot-b02-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; object_detail; extreme_close; occupancy 25-45%,shot_planner,none
shot,shot-b03-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; evidence_insert; close; occupancy 35-60%,shot_planner,none
shot,shot-b03-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; abstract_information; graphic_fullframe; occupancy 20-55%,shot_planner,none
shot,shot-b03-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,10s; abstract_information; graphic_fullframe; occupancy 20-70%,shot_planner,none
shot,shot-b04-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,8s; institutional_pressure; wide; occupancy 15-35%,shot_planner,none
shot,shot-b04-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,8s; unresolved_choice; graphic_fullframe; occupancy 20-60%,shot_planner,none
shot,shot-b04-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,9s; institutional_pressure; medium; occupancy 25-50%,shot_planner,none
shot,shot-b05-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,13s; unresolved_choice; medium; occupancy 20-55%,shot_planner,none
shot,shot-b05-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,13s; object_detail; close; occupancy 35-60%,shot_planner,none
shot,shot-b05-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,12s; unresolved_choice; graphic_fullframe; occupancy 20-65%,shot_planner,none
shot,shot-b05-04,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,12s; abstract_information; graphic_fullframe; occupancy 20-70%,shot_planner,none
shot,shot-b06-01,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,9s; unresolved_choice; graphic_fullframe; occupancy 25-60%,shot_planner,none
shot,shot-b06-02,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,8s; evidence_insert; close; occupancy 35-60%,shot_planner,none
shot,shot-b06-03,pass,15,shot-required-fields|shot-timing|shot-composition|shot-scale|shot-motion|shot-transition|shot-occupancy|shot-focal-zone|shot-asset-quantity|shot-overlay|shot-truth|shot-asset-rights|shot-palette|shot-information|shot-visual-control,8s; closing_question; wide; occupancy 20-45%,shot_planner,none
subtitle,sub-b01-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,6s; 12 chars; 2 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b01-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,6s; 15 chars; 2.5 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b01-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,4s; 11 chars; 2.75 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b02-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 17 chars; 2.43 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b02-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,10s; 19 chars; 1.9 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b02-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 14 chars; 1.56 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b03-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,8s; 14 chars; 1.75 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b03-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 14 chars; 1.56 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b03-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 15 chars; 1.67 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b04-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 12 chars; 1.71 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b04-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 13 chars; 1.86 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b04-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 9 chars; 1.29 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b05-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 10 chars; 1.11 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b05-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 11 chars; 1.22 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b05-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 10 chars; 1.11 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b05-04,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,8s; 11 chars; 1.38 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b05-05,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,9s; 16 chars; 1.78 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b06-01,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 10 chars; 1.43 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b06-02,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 14 chars; 2 chars/s; 2/2 lines,subtitle_reviewer,none
subtitle,sub-b06-03,pass,5,subtitle-timing|subtitle-line-budget|subtitle-metrics|subtitle-classification|subtitle-readability,7s; 13 chars; 1.86 chars/s; 2/2 lines,subtitle_reviewer,none
