thumbnail_kind,thumbnail_id,representative_shot_id,thumbnail_path,source_frame_path,sha256,semantics_ja,intentional_reuse_label,derived_from_canonical_frame
shot,shot-b04-02,shot-b04-02,artifacts/private-previsualization-timeline/frames/shot-b04-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b04-02.jpg,26a317156cc606e3eebbb53ab72af1e102807f81c0baf9c24ec4431e9b7acb6c,「時間販売の告発？」と「偽の記録？」を同じ重さで並べる。,,true
shot,shot-b04-03,shot-b04-03,artifacts/private-previsualization-timeline/frames/shot-b04-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b04-03.jpg,aa2b247ed080e7c63b81988d18ff0aafbf455dc1f1f4e7544e3a628b96ac68a9,台帳の影と閉じた制度空間に「MOTIVE UNKNOWN」を小さく表示する。,,true
shot,shot-b05-01,shot-b05-01,artifacts/private-previsualization-timeline/frames/shot-b05-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-01.jpg,1cccb3416f0fdc16962291fc4aca59aabf73bbc14b7bd9628140120c1dced300,左30%に人物、右70%に四つの同寸候補面を2×2で置く。,,true
shot,shot-b05-02,shot-b05-02,artifacts/private-previsualization-timeline/frames/shot-b05-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-02.jpg,145b65c041f70dfd696cecbb7479c90872e9c2152b2dd1a7e388dbf730dc68de,蛾を中央の独立円に置き、鍵・監視・記憶を下段の同寸三面へ置く。,callback / brass moth,true
shot,shot-b05-03,shot-b05-03,artifacts/private-previsualization-timeline/frames/shot-b05-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-03.jpg,c0d381d58288bc29a2579d1ff2af2939ea74ae34e2b67eb2890d6f728e8bf885,制度像を低コントラスト背景にし、四候補を同寸2×2で前面配置する。,,true
shot,shot-b05-04,shot-b05-04,artifacts/private-previsualization-timeline/frames/shot-b05-04.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-04.jpg,7e91cdd4922d63ffbbc18e96cb708981148efc9cdb7a85fc340f5f00bd4e1f76,三clusterを横一列に同寸配置し、中央clusterを拡大しない。,callback / three unresolved motifs,true
shot,shot-b06-01,shot-b06-01,artifacts/private-previsualization-timeline/frames/shot-b06-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b06-01.jpg,f2c1d9e92479c8f68eeaaa015358f9e7d0d14346e6877c0a0ac2d4fe2a1dc696,左右を50:50にし、中央8%を意図的な空白として除外する。,shared motif / time and ledger,true
shot,shot-b06-02,shot-b06-02,artifacts/private-previsualization-timeline/frames/shot-b06-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b06-02.jpg,8db31be626f889e61a2c8758c3e817abee5994e783770fa5a5c88d548f34f978,左上の空欄本を第一焦点、右下の閉じたページ端を第二焦点として斜めに重ねる。,,true
shot,shot-b06-03,shot-b06-03,artifacts/private-previsualization-timeline/frames/shot-b06-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b06-03.jpg,2dbf054989b70a377393eab8d43189939c68c7cee6bf3e5fe5069e922ec49f02,塔枠を中央上、駅の奥行きを低い補助層に置き、画面下部へ終幕語を置く。,callback / opening tower composition,true
requirement,AR-ENV-01,shot-b01-01,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-ENV-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b01-01.jpg,eb0922b7ddea42e4ade4e8644be33514e15eb61a472f6a307ef55aa337483953,鐘のない天文台と空の鐘枠,,true
requirement,AR-ENV-02,shot-b04-03,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-ENV-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b04-03.jpg,639dc6351860e4f10aac687d314a9d78d75fe8609034e9290888e3421858a7d9,半透明仕切りを含む中立的な制度空間,,true
requirement,AR-CHAR-01,shot-b03-01,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-CHAR-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-01.jpg,8eef730a427c16b253b90f7a046f83348049fa90c7db250ce583cb59d0c615e9,顔を特定しない台帳を開く手元,,true
requirement,AR-CHAR-02,shot-b04-01,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-CHAR-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b04-01.jpg,ec8b3838457739d391fd6a99f6b7623d6249b3b1cf50fc0237fbed5fe8d44ab7,匿名の評議会シルエット,,true
requirement,AR-CHAR-03,shot-b05-01,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-CHAR-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-01.jpg,28e43de843e0fdb2e34183b8c08a7c567e59a0d6e40eb1c6769767e0e1098fe8,トーマの未確定シルエットと四候補,,true
requirement,AR-PROP-01,shot-b02-03,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-PROP-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b02-03.jpg,2820fa27624693e4bd126c7eb7412dad1a8f30bc7b51957125f2447ec57a879b,時計面と9:17の時刻motif,,true
requirement,AR-PROP-02,shot-b05-02,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-PROP-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-02.jpg,d10eb19a49a348c8195732a0b0616f2c22b9720de95992b65ebbdbda1ab56626,静止した真鍮の蛾,,true
requirement,AR-PROP-03,shot-b02-02,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-PROP-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b02-02.jpg,5b96aa8276f4b572cda14ada904c7c5a9f6578caf945de556f0e111191e4b541,手書きのメモ／written note,,true
requirement,AR-DOC-01,shot-b03-02,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-DOC-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-02.jpg,0ee23e56252a09b7dd8d36f625a79b3025f05cf3a31eb5a2acaa997082819df6,架空台帳の名前欄と『分』欄,,true
requirement,AR-DOC-02,shot-b05-03,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-DOC-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-03.jpg,a7b1284457342c099945dc40438d6c796a4bd87c510b7db651634dfcb7f01a80,同じ重みの候補図版システム,,true
requirement,AR-ABS-01,shot-b03-03,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-ABS-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-03.jpg,957385c3cf57ed05f3abb77fe4a9fe37b3007ebc438ad4bfe2c16b7646fe217c,名前／文字輪郭が三段階で薄れる,,true
requirement,AR-ABS-02,shot-b06-01,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-ABS-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b06-01.jpg,9eac88df2c3758c4c0f9039fd5d5dbc78de9336670e2402c3e6a83a39612d1a4,時間と名前を46:8:46で等分,,true
requirement,AR-TYPE-01,shot-b05-04,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-TYPE-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b05-04.jpg,e2f3ca23e4e57bbaeb1ac60735c8025ff6bfe61beac47d871a1988ac9376879f,日本語firstの短いlabelとHOLD表示,,true
requirement,AR-AUDIO-01,shot-b01-03,artifacts/private-previsualization-timeline/requirement-thumbnails/AR-AUDIO-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b01-03.jpg,3bf651d412a6b554e5f4c8c08e74ba0172a3a8dbc48fc90af63ec8af6887b678,六幕のsilent cue位置。音声素材は含まない,,true
