semantic_unit_id,unit_type,claim_type,truth_status,visual_subject_ids,shot_ids,binding_level,rewrite_without_visual_change,visual_change_required,reason
clarity-cap-b05-05,review_explanatory_caption,inference,suspected,brass-moth|council,shot-b05-04,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b06-01,review_explanatory_caption,inference,suspected,time-restoration|ledger,shot-b06-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b06-02,review_explanatory_caption,inference,suspected,name-restoration|ledger,shot-b06-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-cap-b06-03,review_explanatory_caption,choice,unresolved,mira-choice|empty-bell-frame,shot-b06-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-01,production_subtitle_draft,observation,reported,tower|bell-sound,shot-b01-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-02,production_subtitle_draft,fact,reported,empty-bell-frame|removal-record,shot-b01-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-03,production_subtitle_draft,observation,observed,empty-bell-frame,shot-b01-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-04,production_subtitle_draft,fact,established,mira|clock-workbench,shot-b02-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-05,production_subtitle_draft,observation,reported,mira|toma-memo|brass-moth,shot-b02-01|shot-b02-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-06,production_subtitle_draft,observation,observed,clock-0917|brass-moth,shot-b02-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-07,production_subtitle_draft,fact,reported,toma-memo|ledger|council,shot-b03-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-08,production_subtitle_draft,observation,observed,ledger-minute-column|ledger-name-column,shot-b03-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-09,production_subtitle_draft,inference,suspected,fading-record,shot-b03-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-10,production_subtitle_draft,allegation,reported,toma-memo|council,shot-b04-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-11,production_subtitle_draft,observation,observed,ledger|council,shot-b04-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-12,production_subtitle_draft,inference,unresolved,council|ledger,shot-b04-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-13,production_subtitle_draft,observation,unresolved,toma,shot-b05-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-14,production_subtitle_draft,observation,observed,brass-moth,shot-b05-01|shot-b05-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-15,production_subtitle_draft,inference,unresolved,council,shot-b05-02|shot-b05-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-16,production_subtitle_draft,inference,suspected,toma|brass-moth|council,shot-b05-03|shot-b05-04,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-17,production_subtitle_draft,inference,suspected,brass-moth|council,shot-b05-04,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-18,production_subtitle_draft,inference,suspected,time-restoration|ledger,shot-b06-01,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-19,production_subtitle_draft,inference,suspected,name-restoration|ledger,shot-b06-02,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
production-subtitle-20,production_subtitle_draft,choice,unresolved,mira-choice|empty-bell-frame,shot-b06-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b01,narration_segment,observation,reported,tower|empty-bell-frame|noon-record,shot-b01-01|shot-b01-02|shot-b01-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b02,narration_segment,observation,reported,mira|toma-memo|brass-moth|clock-0917,shot-b02-01|shot-b02-02|shot-b02-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b03,narration_segment,observation,suspected,toma-memo|ledger-minute-column|ledger-name-column|fading-record,shot-b03-01|shot-b03-02|shot-b03-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b04,narration_segment,allegation,reported,council|toma-memo|ledger,shot-b04-01|shot-b04-02|shot-b04-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b05,narration_segment,inference,suspected,toma|brass-moth|council|clue-chain,shot-b05-01|shot-b05-02|shot-b05-03|shot-b05-04,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
clarity-narration-b06,narration_segment,choice,unresolved,time-restoration|name-restoration|mira-choice|empty-bell-frame,shot-b06-01|shot-b06-02|shot-b06-03,L1_subject_bound,true,none,The accepted shot already contains the named subject; this clarity revision changes explanatory wording only.
