"utterance_id","source_section_id","source_character_start","source_character_end","source_text_ja","tts_reading_text_ja","semantic_equivalence","style_id","shot_id","target_start_seconds","synthesized_duration","actual_end_seconds","preceding_gap_seconds","following_gap_seconds","source_text_sha256","wav_sha256"
"utterance-11","3","19","31","人の名前を記す欄が並ぶ。","人の名前を記す欄が並ぶ。","True","10000","shot-b03-01","74.266","1.984","76.25","5","5","e926c7557219a1f5e8285a08047d9008996324fece4bad8cb3523864d2fe35a4","3deca97da2ebfd330d548512cf2cc1a85c894fe9e45bdeeccd49fc291571cb99"
"utterance-12","3","31","59","現在の画像から確認できるのは二種類の記録形式だけである。","現在の画像から確認できるのは二種類の記録形式だけである。","True","10000","shot-b03-02","81.25","4.128","85.378","5","1.586","723f1d8df0c2153f28f38714216eb146d5df421d0003697d23153b80b83603b9","f7ecfcddf40f5646c217bc56c1fd066dfc097985bfa744a1ac4d827f9d3d2636"
"utterance-13","3","59","94","この台帳が時間を奪う、または人を消すという因果関係は証明されていない。","この台帳が時間を奪う、または人を消すという因果関係は証明されていない。","True","10000","shot-b03-02","86.964","5.536","92.5","1.586","4.75","6138436e5a185a5d093d3c1fdaf407e842923d92eaa6877c57ae76d9f13d7145","9ee3ce9d986ab051088ce4e252a63adc2a477a0b323b9e8137aa662d674e4566"
"utterance-14","4","0","27","失踪した兄のメモは、市の評議会に調査の目を向けている。","失踪した兄のメモは、しのひょうぎかいに調査の目を向けている。","True","10000","shot-b04-01","97.25","4.245333","101.495333","4.75","3.186","2ac75de2d8607bcd90a8fbf0d81ba58c7eef8a3edf13e0ab417ce487d8cd2d4d","5af756df72fa6fafda7f8fe82c230799cc2efdf222f325e23a2e1822ef2160ea"
"utterance-15","4","27","42","だが、メモは告発の記録であり、","だが、メモは告発の記録であり、","True","10000","shot-b04-01","104.681333","2.634667","107.316","3.186","5","d378b90a2b82a7268d33d9892f6fd89f047579b64092726838c743ae9b81506a","4c4810f77b04183d39136d45a92481714a0b303d269993b1b137504c2a3d5e3d"
"utterance-16","4","42","64","評議会の関与を裏づける証拠そのものではない。","評議会の関与を裏づける証拠そのものではない。","True","10000","shot-b04-01","112.316","3.157333","115.473333","5","5","8bc73ba8ce7223010b20c379556635279f7cea12a3ee091c65e543451d800ea1","5e095206b04f98e98bbc016f7a634087cbaa404f56d2e0314eec6171fd7ee8ab"
"utterance-17","4","64","83","台帳の出所と真正性も確認されておらず、","台帳の出所と真正性も確認されておらず、","True","10000","shot-b04-02","120.473333","3.178667","123.652","5","5","b1a1b4f1c6fd0c115e6b805174a0d3b9ee0174fb486c445d154fa6d165742446","8cb1f442dcf9918f98f20292c3adaad8116e6f0a02daedae77fb793ade61a373"
"utterance-18","4","83","101","責任や動機を断定できる段階にはない。","責任や動機を断定できる段階にはない。","True","10000","shot-b04-02","128.652","2.848","131.5","5","4.75","5b99402786bdc941bdca51e1aca80af56e4577f7bf2e4d597225db5470ac56d9","9fcc2c25609b99cf3fe924ce01218fbb1fb045c83b394221ca07a09496f8ac9a"
"utterance-19","5","0","61","この事件で確認されているのは、正午に報告された鐘の音、空の取付枠、失踪した兄のメモ、真鍮の蛾、9:17、二列の台帳である。","この事件で確認されているのは、正午に報告された鐘の音、空の取付枠、失踪した兄のメモ、しんちゅうでできた、ガ、9時17分、二列の台帳である。","True","10000","shot-b06-01","136.25","12.554667","148.804667","4.75","4.025999","932b528a6f5fa941d1a6842d44c47de4ccf97a3e51e49e4c301a2a5d0a3e4a70","f4d380b052474cbd7bceb78d3a9afc6f27359fa079d6a98846b230cf9a16e043"
"utterance-20","5","61","88","時間と名前は台帳に記録された二つの損失区分として扱う。","時間と名前は台帳に記録された二つの損失区分として扱う。","True","10000","shot-b06-01","152.830666","4.362667","157.193333","4.025999","5","d42a4c9abe6b4b84fd7bb76136a61ed6eed7a69d844892946f7d141dc26ceeed","af4315aa3b46628a292d6b92aaf285d0e25e1ef3ccb054b52f7270651e0d92a3"
"utterance-21","5","88","113","音源、兄の所在、評議会との関係は確認されていない。","音源、兄の所在、評議会との関係は確認されていない。","True","10000","shot-b06-03","162.193333","4.736","166.929333","5","5","0ee8cfff442713803dcaeade32433a69dc6ac1e5f3bf21ee7997e43c5ac928b4","c406cd7ee2b2eb66d9149a3074ad0765826d4415f957f79b427055468eb1cec2"
"utterance-22","5","113","128","塔は現在も調査対象として残る。","塔は現在も調査対象として残る。","True","10000","shot-b06-03","171.929333","2.570667","174.5","5","5.5","795d738f88fc1c24b2cb7e1b1b81c0b85103c4bb7778c89691147a2f809da0e5","18ce031db4b88e975b57d5f24369f3e2e7b28367d2eefcbf6ebce8039da4b3d2"
